"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"ec510108","INVENTARIO FINAL DE MATERIA PRIMA","510108","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec510109","INVENTARIO INICIAL DE PRODUCTOS EN PROCESO","510109","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec510110","INVENTARIO FINAL DE PRODUCTOS EN PROCESO","510110","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec510111","INVENTARIO INICIAL PRODUCTOS TERMINADOS","510111","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec510112","INVENTARIO FINAL DE PRODUCTOS TERMINADOS","510112","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec51020101","SUELDOS, SALARIOS Y DEMAS REMUNERACIONES","51020101","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec51020102","HORAS EXTRA","51020102","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec51020103","BONIFICACIONES POR DESEMPEÑO","51020103","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec51020201","SEGURO MEDICO ","51020201","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec51020202","CAPACITACION","51020202","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec51020203","UNIFORMES","51020203","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec51020204","ALIMENTACION","51020204","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec5102020501","IMPUESTO A LA RENTA EMPLEADOS ASUMIDO POR LA EMPRESA","5102020501","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec5102020502","TRANSPORTE","5102020502","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec51020301","APORTE PATRONAL","51020301","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec51020302","FONDOS DE RESERVA","51020302","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec51020401","DECIMO TERCER SUELDO","51020401","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec51020402","DECIMO CUARTO SUELDO","51020402","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec51020403","VACACIONES","51020403","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec51020404","DESPICO INTEMPESTIVO ","51020404","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec51020405","DESAHUCIO","51020405","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec51020406","OTROS BENEFICIOS E INDEMNIZACIONES","51020406","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec51030101","SUELDOS, SALARIOS Y DEMAS REMUNERACIONES","51030101","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec51030102","HORAS EXTRA","51030102","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec51030103","BONIFICACIONES POR DESEMPEÑO","51030103","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec51030201","SEGURO MEDICO ","51030201","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec51030202","CAPACITACION","51030202","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec51030203","UNIFORMES","51030203","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec51030204","ALIMENTACION","51030204","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec5103020501","IMPUESTO A LA RENTA EMPLEADOS ASUMIDO POR LA EMPRESA","5103020501","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec5103020502","TRANSPORTE","5103020502","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec51030301","APORTE PATRONAL","51030301","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec51030302","FONDOS DE RESERVA","51030302","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec51030401","DECIMO TERCER SUELDO","51030401","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec51030402","DECIMO CUARTO SUELDO","51030402","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec51030403","VACACIONES","51030403","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec51030404","DESPICO INTEMPESTIVO ","51030404","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec51030405","DESAHUCIO","51030405","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec51030406","OTROS BENEFICIOS E INDEMNIZACIONES","51030406","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec51040101","EDIFICIOS","51040101","account.data_account_type_depreciation","l10n_ec_ja_ifrs","False"
"ec51040102","CONTRUCCIONES EN CURSO","51040102","account.data_account_type_depreciation","l10n_ec_ja_ifrs","False"
"ec51040103","INSTALACIONES","51040103","account.data_account_type_depreciation","l10n_ec_ja_ifrs","False"
"ec51040104","MUEBLES Y ENSERES","51040104","account.data_account_type_depreciation","l10n_ec_ja_ifrs","False"
"ec51040105","MAQUINARIA Y EQUIPO","51040105","account.data_account_type_depreciation","l10n_ec_ja_ifrs","False"
"ec51040106","NAVES, AERONAVES, BARCAZAS Y SIMILARES","51040106","account.data_account_type_depreciation","l10n_ec_ja_ifrs","False"
"ec51040107","EQUIPO DE COMPUTACION","51040107","account.data_account_type_depreciation","l10n_ec_ja_ifrs","False"
"ec51040108","VEHICULOS, EQUIPOS DE TRANSPORTE Y EQUIPO CAMINERO MOVIL","51040108","account.data_account_type_depreciation","l10n_ec_ja_ifrs","False"
"ec51040109","OTROS PROPIEDADES, PLANTA Y EQUIPO","51040109","account.data_account_type_depreciation","l10n_ec_ja_ifrs","False"
"ec51040110","REPUESTOS Y HERRAMIENTAS","51040110","account.data_account_type_depreciation","l10n_ec_ja_ifrs","False"
"ec510402","DETERIORO O PÉRDIDAS DE ACTIVOS BIOLÓGICOS","510402","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec51040301","EDIFICIOS","51040301","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec51040302","CONTRUCCIONES EN CURSO","51040302","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec51040303","INSTALACIONES","51040303","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec51040304","MUEBLES Y ENSERES","51040304","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec51040305","MAQUINARIA Y EQUIPO","51040305","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec51040306","NAVES, AERONAVES, BARCAZAS Y SIMILARES","51040306","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec51040307","EQUIPO DE COMPUTACION","51040307","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
